    k     n             Re[I(theta1)]             Im[I(theta1)]
    1    44    7.5963454558315216e+10    3.1970681679652876e+05
    1    45    1.4084320046998569e+11    5.7981680020220624e+05
    1    46    2.6119707513707489e+11    1.0522970105200720e+06
    1    47    4.8450443442283179e+11    1.9110916480474831e+06
    1    48    8.9891838132555310e+11    3.4730267370888325e+06
    1    49    1.6681384654834741e+12    6.3154850501184268e+06
    1    50    3.0962053420633784e+12    1.1491229229348054e+07
    1    51    5.7479096346933232e+12    2.0920752654178780e+07
    1    52    1.0672582159863008e+13    3.8109178770410508e+07
    1    53    1.9820086031145688e+13    6.9456726236492395e+07
    1    54    3.6814188568461570e+13    1.2665517120067585e+08
    1    55    6.8390529010845922e+13    2.3107202246512702e+08
    1    56    1.2707064377844147e+14    4.2177417181090498e+08
    1    57    2.3613516485673719e+14    7.7021775711789000e+08
    1    58    4.3887417319378531e+14    1.4071523732503600e+09
    1    59    8.1579524466962725e+14    2.5719128898378510e+09
    1    60    1.5166384851089078e+15    4.7027588080750742e+09
    1    61    2.8199460583356075e+15    8.6024979479111786e+09
    1    62    5.2439134676134970e+15    1.5742230017402626e+10
    1    63    9.7526910341926680e+15    2.8818566989938103e+10
    1    64    1.8140363156103048e+16    5.2776168549605568e+10
    1    65    3.3745700975587420e+16    9.6684713338473709e+10
    1    66    6.2782755386965776e+16    1.7718526390501111e+11
    1    67    1.1681813653616221e+17    3.2482000819055945e+11
    1    68    2.1738359508420666e+17    5.9566088932641931e+11
    1    69    4.0456519371358061e+17    1.0926786894313640e+12
    1    70    7.5299873099717914e+17    2.0050215470131917e+12
    1    71    1.4016601537962237e+18    3.6802309274132998e+12
    1    72    2.6093527364039281e+18    6.7570476108880322e+12
    1    73    4.8580648829197701e+18    1.2409701678791848e+13
    1    74    9.0455130352908001e+18    2.2797376327182375e+13
    1    75    1.6843852603192031e+19    4.1891354315251609e+13
    1    76    3.1368012228557955e+19    7.6997549628184813e+13
    1    77    5.8420994161834615e+19    1.4155964383396922e+14
    1    78    1.0881439285281972e+20    2.6032103714801622e+14
    1    79    2.0269279454186576e+20    4.7883249843059688e+14
    1    80    3.7759304774741053e+20    8.8096756604001100e+14
    1    81    7.0346510030008143e+20    1.6211965323574348e+15
    1    82    1.3106695723812976e+21    2.9840661461114570e+15
    1    83    2.4421661430588469e+21    5.4938390572875420e+15
    1    84    4.5508003661342997e+21    1.0116630399943052e+16
    1    85    8.4806714620114937e+21    1.8633143780399568e+16
    1    86    1.5805268651558681e+22    3.4326110599199484e+16
    1    87    2.9457917993083229e+22    6.3248357708167016e+16
    1    88    5.4907301056383778e+22    1.1656231208787614e+17
    1    89    1.0234942448332276e+23    2.1485695385458419e+17
    1    90    1.9079516865456374e+23    3.9611493255619187e+17
    1    91    3.5569308387195705e+23    7.3041854783353715e+17
    1    92    6.6314574241424894e+23    1.3470987865915348e+18
